COG_letter	COG_description	COG_category	COG_number	annotation	cluster
E	Chorismate mutase AroH	Amino acid transport and metabolism	COG4401	E:[Amino acid transport and metabolism]	2
C	Formate hydrogenlyase subunit HyfC	Energy production and conversion	COG0650	C:[Energy production and conversion]	2
M	Penicillin V acylase or related amidase, Ntn superfamily	Cell wall/membrane/envelope biogenesis	COG3049	M:[Cell wall/membrane/envelope biogenesis]	2
K	Metal-responsive transcriptional regulator, contains CopG/Arc/MetJ DNA-binding domain	Transcription	COG0864	K:[Transcription]	2
C	Flavorubredoxin	Energy production and conversion	COG0426	C:[Energy production and conversion]	2
N	Type II secretion system/type IV pili GspC/PulC/PilP protein, contains PDZ domain	Cell motility	COG3031	N:[Cell motility]	2
J	Archease, activates RNA ligation by RtcB (tRNA splicing)	Translation, ribosomal structure and biogenesis	COG1371	J:[Translation, ribosomal structure and biogenesis]	2
G	Predicted glycosyl hydrolase, contains GH57 and DUF1957 domains	Carbohydrate transport and metabolism	COG1543	G:[Carbohydrate transport and metabolism]	2
R	Vitamin K epoxide reductase (VKOR) family protein, predicted involvement in disulfide bond formation	General function prediction only	COG4243	R:[General function prediction only]	2
H	Glutaminase/glutamine amidotransferase domain of CobB, CobQ, and lipid II isoglutaminyl synthase	Coenzyme transport and metabolism	COG3442	H:[Coenzyme transport and metabolism]	2
C	Ni,Fe-hydrogenase III large subunit	Energy production and conversion	COG3261	C:[Energy production and conversion]	2
P	ABC-type Co2+ transport system, permease component	Inorganic ion transport and metabolism	COG0310	P:[Inorganic ion transport and metabolism]	2
E	Pyruvoyl-dependent arginine decarboxylase	Amino acid transport and metabolism	COG1945	E:[Amino acid transport and metabolism]	2
L	DNA-adenine methylase	Replication, recombination and repair	COG0338	L:[Replication, recombination and repair]	2
N	Chemotaxis protein CheX, a CheY~P-specific phosphatase	Cell motility	COG1406	N:[Cell motility]	2
C	Tartrate dehydratase beta subunit/Fumarate hydratase class I, C-terminal domain	Energy production and conversion	COG1838	C:[Energy production and conversion]	2
C	Na+-translocating ferredoxin:NAD+ oxidoreductase  RNF, RnfC subunit	Energy production and conversion	COG4656	C:[Energy production and conversion]	2
M	Starvation-inducible outer membrane lipoprotein Slp	Cell wall/membrane/envelope biogenesis	COG3065	M:[Cell wall/membrane/envelope biogenesis]	2
T	Phosphoaspartate phosphatase CheC, specific for CheY-P	Signal transduction mechanisms	COG1776	T:[Signal transduction mechanisms]	2
K	Sugar diacid utilization regulator CdaR	Transcription	COG3835	K:[Transcription]	2
I	Glycerol-1-phosphate heptaprenyltransferase	Lipid transport and metabolism	COG1646	I:[Lipid transport and metabolism]	2
K	DNA-binding transcriptional regulator WhiA, involved in cell division	Transcription	COG1481	K:[Transcription]	2
G	L-arabinose isomerase	Carbohydrate transport and metabolism	COG2160	G:[Carbohydrate transport and metabolism]	2
F	Pseudouridine-5'-phosphate glycosidase (pseudoU degradation)	Nucleotide transport and metabolism	COG2313	F:[Nucleotide transport and metabolism]	2
O	Cytoplasmic chaperone TorD involved in molybdoenzyme TorA maturation	Posttranslational modification, protein turnover, chaperones	COG3381	O:[Posttranslational modification, protein turnover, chaperones]	2
I	Acyl CoA:acetate/3-ketoacid CoA transferase	Lipid transport and metabolism	COG4670	I:[Lipid transport and metabolism]	2
F	Uridine phosphorylase	Nucleotide transport and metabolism	COG2820	F:[Nucleotide transport and metabolism]	2
T	Predicted secreted protein YlbL, contains PDZ domain	Signal transduction mechanisms	COG3480	T:[Signal transduction mechanisms]	2
H	Phosphosulfolactate phosphohydrolase or related enzyme	Coenzyme transport and metabolism	COG2045	H:[Coenzyme transport and metabolism]	2
P	ABC-type enterobactin transport system, permease component	Inorganic ion transport and metabolism	COG4779	P:[Inorganic ion transport and metabolism]	2
D	Cell division septum initiation protein DivIVA, interacts with FtsZ and MinD	Cell cycle control, cell division, chromosome partitioning	COG3599	D:[Cell cycle control, cell division, chromosome partitioning]	2
V	Secreted virulence factor YukE/EsxA, WXG100 family	Defense mechanisms	COG4842	V:[Defense mechanisms]	2
C	Succinate/dicarboxylate transporter YjjP, DUF1212 family	Energy production and conversion	COG2966	C:[Energy production and conversion]	2
P	ABC-type hemin transport system, ATPase component	Inorganic ion transport and metabolism	COG4559	P:[Inorganic ion transport and metabolism]	2
P	High-affinity nickel/cobalt permease	Inorganic ion transport and metabolism	COG3376	P:[Inorganic ion transport and metabolism]	2
C	ATP/ADP translocase	Energy production and conversion	COG3202	C:[Energy production and conversion]	2
Q	Acetoacetate decarboxylase	Secondary metabolites biosynthesis, transport and catabolism	COG4689	Q:[Secondary metabolites biosynthesis, transport and catabolism]	2
G	Ribose 1,5-bisphosphate kinase PhnN	Carbohydrate transport and metabolism	COG3709	G:[Carbohydrate transport and metabolism]	2
I	Membrane lysoplasmalogenase (glycerophospholipid hydrolase), YhhN family	Lipid transport and metabolism	COG3714	I:[Lipid transport and metabolism]	2
T	Anti-sigma factor ChrR, cupin superfamily	Signal transduction mechanisms	COG3806	T:[Signal transduction mechanisms]	2
J	RNA:NAD 2'-phosphotransferase, TPT1/KptA family	Translation, ribosomal structure and biogenesis	COG1859	J:[Translation, ribosomal structure and biogenesis]	2
N	Swarming motility protein SwrD	Cell motility	COG1582	N:[Cell motility]	2
S	Uncharacterized conserved protein, contains GYD domain	Function unknown	COG4274	S:[Function unknown]	2
G	D-mannonate dehydratase	Carbohydrate transport and metabolism	COG1312	G:[Carbohydrate transport and metabolism]	2
R	Predicted oxidoreductase	General function prediction only	COG3573	R:[General function prediction only]	2
L	Superfamily II RNA helicase	Replication, recombination and repair	COG4581	L:[Replication, recombination and repair]	2
H	Phosphosulfolactate synthase, CoM biosynthesis protein A	Coenzyme transport and metabolism	COG1809	H:[Coenzyme transport and metabolism]	2
G	Ribulose bisphosphate carboxylase small subunit	Carbohydrate transport and metabolism	COG4451	G:[Carbohydrate transport and metabolism]	2
V	Streptogramin lyase	Defense mechanisms	COG4257	V:[Defense mechanisms]	2
G	Sugar transporter, SemiSWEET family, contains PQ motif	Carbohydrate transport and metabolism	COG4095	G:[Carbohydrate transport and metabolism]	2
U	Type III secretion system protein YscS/SpaQ/EscS/HrcS, SctS family	Intracellular trafficking, secretion, and vesicular transport	COG4794	U:[Intracellular trafficking, secretion, and vesicular transport]	2
T	Forkhead associated (FHA) domain, binds pSer, pThr, pTyr	Signal transduction mechanisms	COG1716	T:[Signal transduction mechanisms]	2
U	Type III secretion system protein YscT/SpaR/EscT/HrcT, SctT family	Intracellular trafficking, secretion, and vesicular transport	COG4791	U:[Intracellular trafficking, secretion, and vesicular transport]	2
U	Type IV secretion system core protein VirB3	Intracellular trafficking, secretion, and vesicular transport	COG3702	U:[Intracellular trafficking, secretion, and vesicular transport]	2
U	Type III secretion system inner ring protein YscJ/PrgK/MxiJ/HrcJ, SctJ family	Intracellular trafficking, secretion, and vesicular transport	COG4669	U:[Intracellular trafficking, secretion, and vesicular transport]	2
J	tRNA A57/A58 N1-methylase Trm61	Translation, ribosomal structure and biogenesis	COG2519	J:[Translation, ribosomal structure and biogenesis]	2
U	Type III secretion system protein YscR/SpaP/EscR/HrcR, SctR family	Intracellular trafficking, secretion, and vesicular transport	COG4790	U:[Intracellular trafficking, secretion, and vesicular transport]	2
U	Type III secretion system gate protein YscV/InvA/EscV/HrcV, SctV family	Intracellular trafficking, secretion, and vesicular transport	COG4789	U:[Intracellular trafficking, secretion, and vesicular transport]	2
L	G:T-mismatch repair DNA endonuclease Vsr, very short patch repair protein	Replication, recombination and repair	COG3727	L:[Replication, recombination and repair]	2
N	Type IV secretion system ATPase VirB11/Archaellum biosynthesis ATPase ArlI/FlaI	Cell motility	COG0630	N:[Cell motility]	2
V	VapC family ribonuclease, toxin component of the VapBC toxin-antitoxin module, contains PIN domain	Defense mechanisms	COG3742	V:[Defense mechanisms]	2
S	Uncharacterized membrane protein YccF, DUF307 family	Function unknown	COG3304	S:[Function unknown]	2
C	Tetraheme cytochrome c subunit NapC of nitrate or TMAO reductase	Energy production and conversion	COG3005	C:[Energy production and conversion]	2
V	VapB family antitoxin component of VapBC type II toxin-antitoxin module	Defense mechanisms	COG4423	V:[Defense mechanisms]	2
S	Uncharacterized membrane protein YcfT	Function unknown	COG4763	S:[Function unknown]	2
H	Heme degradation regulator ChuX/HutX	Coenzyme transport and metabolism	COG3721	H:[Coenzyme transport and metabolism]	2
H	Nitrogenase ATPase subunit NifH/coenzyme F430 biosynthesis subunit CfbC	Coenzyme transport and metabolism	COG1348	H:[Coenzyme transport and metabolism]	2
C	Hydrogenase-4 membrane subunit HyfE	Energy production and conversion	COG4237	C:[Energy production and conversion]	2
E	Glutamate synthase domain 1	Amino acid transport and metabolism	COG0067	E:[Amino acid transport and metabolism]	2
G	Chitinase, GH18 family	Carbohydrate transport and metabolism	COG3325	G:[Carbohydrate transport and metabolism]	2
G	Mannose-6-phosphate isomerase, class I	Carbohydrate transport and metabolism	COG1482	G:[Carbohydrate transport and metabolism]	2
G	Oxalate decarboxylase/archaeal phosphoglucose isomerase, cupin superfamily	Carbohydrate transport and metabolism	COG2140	G:[Carbohydrate transport and metabolism]	2
K	DNA-binding winged helix-turn-helix (wHTH) domain	Transcription	COG3710	K:[Transcription]	2
C	Ni,Fe-hydrogenase I large subunit	Energy production and conversion	COG0374	C:[Energy production and conversion]	2
C	Ni,Fe-hydrogenase I small subunit	Energy production and conversion	COG1740	C:[Energy production and conversion]	2
V	Reactive chlorine resistance protein RclC/YkgB, DUF417 family	Defense mechanisms	COG3059	V:[Defense mechanisms]	2
G	Tagatose-1,6-bisphosphate/sulfofructosephosphate aldolase	Carbohydrate transport and metabolism	COG3684	G:[Carbohydrate transport and metabolism]	2
S	Uncharacterized membrane protein, DUF2127 family	Function unknown	COG3305	S:[Function unknown]	2
E	Arginine/ornithine N-succinyltransferase beta subunit	Amino acid transport and metabolism	COG3138	E:[Amino acid transport and metabolism]	3
G	Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific	Carbohydrate transport and metabolism	COG1263	G:[Carbohydrate transport and metabolism]	3
M	Phosphoethanolamine transferase for periplasmic glucans OpgE, AlkP superfamily	Cell wall/membrane/envelope biogenesis	COG2194	M:[Cell wall/membrane/envelope biogenesis]	3
F	Cytosine/uracil/thiamine/allantoin permease	Nucleotide transport and metabolism	COG1953	F:[Nucleotide transport and metabolism]	3
K	Transcriptional regulator DhaR of acetoin/glycerol metabolism	Transcription	COG3284	K:[Transcription]	3
E	ABC-type arginine/histidine transport system, permease component	Amino acid transport and metabolism	COG4160	E:[Amino acid transport and metabolism]	3
E	ABC-type arginine transport system, permease component	Amino acid transport and metabolism	COG4215	E:[Amino acid transport and metabolism]	3
I	Triacylglycerol esterase/lipase EstA, alpha/beta hydrolase fold	Lipid transport and metabolism	COG1075	I:[Lipid transport and metabolism]	3
M	Choline-glycine betaine transporter	Cell wall/membrane/envelope biogenesis	COG1292	M:[Cell wall/membrane/envelope biogenesis]	3
P	High-affinity Fe2+/Pb2+ permease	Inorganic ion transport and metabolism	COG0672	P:[Inorganic ion transport and metabolism]	3
G	Sucrose-6-phosphate hydrolase SacC, GH32 family	Carbohydrate transport and metabolism	COG1621	G:[Carbohydrate transport and metabolism]	3
Q	Predicted benzoate:H+ symporter BenE	Secondary metabolites biosynthesis, transport and catabolism	COG3135	Q:[Secondary metabolites biosynthesis, transport and catabolism]	3
E	Aspartate/aromatic aminotransferase	Amino acid transport and metabolism	COG1448	E:[Amino acid transport and metabolism]	3
R	Predicted phosphoribosyltransferase	General function prediction only	COG1926	R:[General function prediction only]	3
C	2-Methylaconitate cis-trans-isomerase PrpF (2-methyl citrate pathway)	Energy production and conversion	COG2828	C:[Energy production and conversion]	3
E	Arginine exporter protein ArgO	Amino acid transport and metabolism	COG1279	E:[Amino acid transport and metabolism]	3
P	Heme oxygenase	Inorganic ion transport and metabolism	COG3230	P:[Inorganic ion transport and metabolism]	3
X	Retron-type reverse transcriptase	Mobilome: prophages, transposons	COG3344	X:[Mobilome: prophages, transposons]	3
U	Two-partner (type Vb) secretion system  protein, HlyB/FhaC/ShlB/HecB family	Intracellular trafficking, secretion, and vesicular transport	COG2831	U:[Intracellular trafficking, secretion, and vesicular transport]	3
T	Stress response protein SCP2	Signal transduction mechanisms	COG2310	T:[Signal transduction mechanisms]	3
P	Mn-containing catalase (includes spore coat protein CotJC)	Inorganic ion transport and metabolism	COG3546	P:[Inorganic ion transport and metabolism]	3
S	Membrane protein potentially involved in acetate utilization, DUF485 family	Function unknown	COG3162	S:[Function unknown]	3
R	Spore maturation protein SpmA (function unknown)	General function prediction only	COG2715	R:[General function prediction only]	3
C	Heme/copper-type cytochrome/quinol oxidase, subunit 4	Energy production and conversion	COG3125	C:[Energy production and conversion]	3
S	Uncharacterized membrane protein YbaN, DUF454 family	Function unknown	COG2832	S:[Function unknown]	3
L	DNA recombination-dependent growth factor RdgC	Replication, recombination and repair	COG2974	L:[Replication, recombination and repair]	3
N	Cyclic di-GMP-binding flagellar brake protein FlgZ/YcgR, contains PilZNR(YcgR) and PilZ domains	Cell motility	COG5581	N:[Cell motility]	3
S	Various environmental stresses-induced protein Ves (function unknown)	Function unknown	COG3758	S:[Function unknown]	3
S	Uncharacterized membrane protein YqjE	Function unknown	COG5393	S:[Function unknown]	3
V	Alkyl hydroperoxide reductase subunit AhpF	Defense mechanisms	COG3634	V:[Defense mechanisms]	3
I	Phospholipase/lecithinase/hemolysin, may have acyltransferase activity	Lipid transport and metabolism	COG3240	I:[Lipid transport and metabolism]	3
F	5-hydroxyisourate hydrolase (purine catabolism), transthyretin-related family	Nucleotide transport and metabolism	COG2351	F:[Nucleotide transport and metabolism]	3
R	Uncharacterized protein, contains GH25 family domain	General function prediction only	COG5266	R:[General function prediction only]	3
H	Triphosphoribosyl-dephospho-CoA synthetase	Coenzyme transport and metabolism	COG1767	H:[Coenzyme transport and metabolism]	3
E	Ethanolamine ammonia-lyase, small subunit	Amino acid transport and metabolism	COG4302	E:[Amino acid transport and metabolism]	3
M	Putative effector of murein hydrolase	Cell wall/membrane/envelope biogenesis	COG1346	M:[Cell wall/membrane/envelope biogenesis]	3
G	Mannose or cellobiose epimerase, N-acyl-D-glucosamine 2-epimerase family	Carbohydrate transport and metabolism	COG2942	G:[Carbohydrate transport and metabolism]	3
E	Proline racemase/hydroxyproline epimerase	Amino acid transport and metabolism	COG3938	E:[Amino acid transport and metabolism]	3
E	Glycine cleavage system regulator GcvR	Amino acid transport and metabolism	COG2716	E:[Amino acid transport and metabolism]	3
R	Putative effector of murein hydrolase LrgA, UPF0299 family	General function prediction only	COG1380	R:[General function prediction only]	3
M	Bacterial lipocalin Blc	Cell wall/membrane/envelope biogenesis	COG3040	M:[Cell wall/membrane/envelope biogenesis]	3
J	tRNA U34 2-selenouridine synthase SelU, contains rhodanese domain	Translation, ribosomal structure and biogenesis	COG2603	J:[Translation, ribosomal structure and biogenesis]	3
D	Cell division protein FtsN	Cell cycle control, cell division, chromosome partitioning	COG3087	D:[Cell cycle control, cell division, chromosome partitioning]	3
E	ABC-type methionine transport system, permease component	Amino acid transport and metabolism	COG2011	E:[Amino acid transport and metabolism]	3
S	Uncharacterized membrane protein YhaH, DUF805 family	Function unknown	COG3152	S:[Function unknown]	3
E	Ethanolamine ammonia-lyase, large subunit	Amino acid transport and metabolism	COG4303	E:[Amino acid transport and metabolism]	3
M	Outer membrane lipoprotein SlyB	Cell wall/membrane/envelope biogenesis	COG3133	M:[Cell wall/membrane/envelope biogenesis]	3
H	Nicotinamide riboside transporter PnuC	Coenzyme transport and metabolism	COG3201	H:[Coenzyme transport and metabolism]	3
Q	Ca2+-binding protein, RTX toxin-related	Secondary metabolites biosynthesis, transport and catabolism	COG2931	Q:[Secondary metabolites biosynthesis, transport and catabolism]	3
E	ABC-type methionine transport system, ATPase component	Amino acid transport and metabolism	COG1135	E:[Amino acid transport and metabolism]	3
C	Monomeric isocitrate dehydrogenase	Energy production and conversion	COG2838	C:[Energy production and conversion]	3
K	Negative regulator of flagellin synthesis (anti-sigma28 factor)	Transcription	COG2747	K:[Transcription]	3
L	Scaffold subunit RecC of the DNA repair enzyme RecBCD (exonuclease V)	Replication, recombination and repair	COG1330	L:[Replication, recombination and repair]	3
E	Glutathionylspermidine synthase, CHAP domain	Amino acid transport and metabolism	COG0754	E:[Amino acid transport and metabolism]	3
E	Homocysteine/selenocysteine methylase (S-methylmethionine-dependent)	Amino acid transport and metabolism	COG2040	E:[Amino acid transport and metabolism]	3
F	2-oxo-4-hydroxy-4-carboxy--5-ureidoimidazoline (OHCU) decarboxylase (uric acid degradation)	Nucleotide transport and metabolism	COG3195	F:[Nucleotide transport and metabolism]	3
C	L-lactate permease	Energy production and conversion	COG1620	C:[Energy production and conversion]	3
F	Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)	Nucleotide transport and metabolism	COG0027	F:[Nucleotide transport and metabolism]	3
J	Translation initiation factor 1 (eIF-1/SUI1)	Translation, ribosomal structure and biogenesis	COG0023	J:[Translation, ribosomal structure and biogenesis]	3
G	Mannitol-1-phosphate/altronate dehydrogenases	Carbohydrate transport and metabolism	COG0246	G:[Carbohydrate transport and metabolism]	3
M	Membrane-bound lytic murein transglycosylase MltF	Cell wall/membrane/envelope biogenesis	COG4623	M:[Cell wall/membrane/envelope biogenesis]	3
G	Beta-xylosidase	Carbohydrate transport and metabolism	COG3507	G:[Carbohydrate transport and metabolism]	3
L	DNA-binding protein YaaA associated with the oxidative stress response	Replication, recombination and repair	COG3022	L:[Replication, recombination and repair]	3
P	Copper-binding protein CopC (methionine-rich)	Inorganic ion transport and metabolism	COG2372	P:[Inorganic ion transport and metabolism]	3
G	2-keto-3-deoxy-galactonokinase	Carbohydrate transport and metabolism	COG3734	G:[Carbohydrate transport and metabolism]	3
E	Aspartate ammonia-lyase	Amino acid transport and metabolism	COG1027	E:[Amino acid transport and metabolism]	3
M	Outer membrane protein assembly factor BamC	Cell wall/membrane/envelope biogenesis	COG3317	M:[Cell wall/membrane/envelope biogenesis]	3
T	RecA-superfamily ATPase, KaiC/GvpD/RAD55 family	Signal transduction mechanisms	COG0467	T:[Signal transduction mechanisms]	3
K	ATP-, maltotriose- and DNA-dependent transcriptional regulator MalT	Transcription	COG2909	K:[Transcription]	3
H	Gamma-glutamylcysteine synthetase	Coenzyme transport and metabolism	COG2918	H:[Coenzyme transport and metabolism]	3
U	Type II secretory pathway, component PulM	Intracellular trafficking, secretion, and vesicular transport	COG3149	U:[Intracellular trafficking, secretion, and vesicular transport]	3
J	Ribosomal protein L16 Arg81 hydroxylase, contains JmjC domain	Translation, ribosomal structure and biogenesis	COG2850	J:[Translation, ribosomal structure and biogenesis]	3
G	Rhamnogalacturonyl hydrolase YesR	Carbohydrate transport and metabolism	COG4225	G:[Carbohydrate transport and metabolism]	3
M	Fructoselysine-6-P-deglycase FrlB or related protein, duplicated sugar isomerase (SIS) domain	Cell wall/membrane/envelope biogenesis	COG2222	M:[Cell wall/membrane/envelope biogenesis]	3
G	Beta-galactosidase GanA	Carbohydrate transport and metabolism	COG1874	G:[Carbohydrate transport and metabolism]	3
E	Putative aminopeptidase FrvX	Amino acid transport and metabolism	COG1363	E:[Amino acid transport and metabolism]	3
C	Hemoglobin-like flavoprotein	Energy production and conversion	COG1017	C:[Energy production and conversion]	3
D	Stage II sporulation protein SpoIIM, component of the engulfment complex	Cell cycle control, cell division, chromosome partitioning	COG1300	D:[Cell cycle control, cell division, chromosome partitioning]	3
T	N-acyl-homoserine lactone synthase LasI (autoinducer biosynthesis)	Signal transduction mechanisms	COG3916	T:[Signal transduction mechanisms]	3
O	Fe-S-cluster formation regulator IscX/YfhJ	Posttranslational modification, protein turnover, chaperones	COG2975	O:[Posttranslational modification, protein turnover, chaperones]	3
F	Flavoprotein (flavin reductase) subunit CysJ of sulfite and N-hydroxylaminopurine reductases	Nucleotide transport and metabolism	COG0369	F:[Nucleotide transport and metabolism]	3
P	Formate/nitrite transporter FocA, FNT family	Inorganic ion transport and metabolism	COG2116	P:[Inorganic ion transport and metabolism]	3
K	Superfamily II DNA or RNA helicase, SNF2 family	Transcription	COG0553	K:[Transcription]	3
P	Alkaline phosphatase	Inorganic ion transport and metabolism	COG1785	P:[Inorganic ion transport and metabolism]	3
S	Uncharacterized protein HemY, contains HemY_N domain and TPR repeats (unrelated to protoporphyrinogen oxidase HemY)	Function unknown	COG3071	S:[Function unknown]	3
N	Phosphoaspartate phosphatase CheZ, dephosphorylates CheY~P	Cell motility	COG3143	N:[Cell motility]	3
R	Uncharacterized conserved protein YaeQ, putative virulence regulator	General function prediction only	COG4681	R:[General function prediction only]	3
P	Fe-S cluster assembly protein CyaY, frataxin homolog	Inorganic ion transport and metabolism	COG1965	P:[Inorganic ion transport and metabolism]	3
E	Glutaminase	Amino acid transport and metabolism	COG2066	E:[Amino acid transport and metabolism]	3
C	Trans-aconitate methyltransferase	Energy production and conversion	COG4106	C:[Energy production and conversion]	3
G	N-acetyl-beta-hexosaminidase	Carbohydrate transport and metabolism	COG3525	G:[Carbohydrate transport and metabolism]	3
K	Transcriptional regulator, contains Arc/MetJ-type RHH (ribbon-helix-helix) DNA-binding domain	Transcription	COG3609	K:[Transcription]	3
P	Putative copper export protein	Inorganic ion transport and metabolism	COG1276	P:[Inorganic ion transport and metabolism]	3
Q	ABC-type microcin C transport system, permease component YejB	Secondary metabolites biosynthesis, transport and catabolism	COG4174	Q:[Secondary metabolites biosynthesis, transport and catabolism]	3
Q	ABC-type microcin C transport system, permease component YejE	Secondary metabolites biosynthesis, transport and catabolism	COG4239	Q:[Secondary metabolites biosynthesis, transport and catabolism]	3
V	GAF domain-containing protein, putative methionine-R-sulfoxide reductase	Defense mechanisms	COG1956	V:[Defense mechanisms]	3
M	Flagellum-specific peptidoglycan hydrolase FlgJ	Cell wall/membrane/envelope biogenesis	COG1705	M:[Cell wall/membrane/envelope biogenesis]	3
L	Membrane protein MutK/YedI, may be involved in DNA repair	Replication, recombination and repair	COG2354	L:[Replication, recombination and repair]	3
U	Type II secretion system protein PulJ/XcpW	Intracellular trafficking, secretion, and vesicular transport	COG4795	U:[Intracellular trafficking, secretion, and vesicular transport]	3
E	1-aminocyclopropane-1-carboxylate deaminase/D-cysteine desulfhydrase, PLP-dependent ACC family	Amino acid transport and metabolism	COG2515	E:[Amino acid transport and metabolism]	3
R	Predicted glutamine amidotransferase YafJ	General function prediction only	COG0121	R:[General function prediction only]	3
F	Dihydroorotase	Nucleotide transport and metabolism	COG0418	F:[Nucleotide transport and metabolism]	3
L	Uracil-DNA glycosylase	Replication, recombination and repair	COG0692	L:[Replication, recombination and repair]	3
G	Glycerate kinase	Carbohydrate transport and metabolism	COG1929	G:[Carbohydrate transport and metabolism]	3
I	Isopentenyldiphosphate isomerase	Lipid transport and metabolism	COG1443	I:[Lipid transport and metabolism]	3
V	NTP pyrophosphatase, house-cleaning of non-canonical NTPs	Defense mechanisms	COG1694	V:[Defense mechanisms]	3
G	1-phosphofructokinase or 6-phosphofructokinase II	Carbohydrate transport and metabolism	COG1105	G:[Carbohydrate transport and metabolism]	3
T	Mlc titration factor MtfA, regulates ptsG expression	Signal transduction mechanisms	COG3228	T:[Signal transduction mechanisms]	3
P	Periplasmic deferrochelatase/peroxidase EfeB	Inorganic ion transport and metabolism	COG2837	P:[Inorganic ion transport and metabolism]	3
G	Xylose isomerase	Carbohydrate transport and metabolism	COG2115	G:[Carbohydrate transport and metabolism]	3
P	Cyanate lyase	Inorganic ion transport and metabolism	COG1513	P:[Inorganic ion transport and metabolism]	3
T	c-di-GMP phosphodiesterase YuxH/PdeH, contains EAL and HDOD domains	Signal transduction mechanisms	COG3434	T:[Signal transduction mechanisms]	3
J	tRNA A37 threonylcarbamoyladenosine dehydratase	Translation, ribosomal structure and biogenesis	COG1179	J:[Translation, ribosomal structure and biogenesis]	3
O	Urease accessory protein UreE	Posttranslational modification, protein turnover, chaperones	COG2371	O:[Posttranslational modification, protein turnover, chaperones]	3
N	Flagellar hook-length control protein FliK	Cell motility	COG3144	N:[Cell motility]	3
R	Putative translation regulator, IMPACT (imprinted ancient) protein family	General function prediction only	COG1739	R:[General function prediction only]	3
M	Amino acid racemase YgeA	Cell wall/membrane/envelope biogenesis	COG1794	M:[Cell wall/membrane/envelope biogenesis]	3
C	Cytochrome c551/c552	Energy production and conversion	COG4654	C:[Energy production and conversion]	3
E	Phenylalanine-4-hydroxylase	Amino acid transport and metabolism	COG3186	E:[Amino acid transport and metabolism]	3
K	DNA-binding transcriptional regulator LsrR, DeoR family	Transcription	COG2390	K:[Transcription]	3
P	Inorganic triphosphatase YgiF, contains CYTH and CHAD domains	Inorganic ion transport and metabolism	COG3025	P:[Inorganic ion transport and metabolism]	3
T	HPt (histidine-containing phosphotransfer) domain	Signal transduction mechanisms	COG2198	T:[Signal transduction mechanisms]	3
T	K+-sensing histidine kinase KdpD	Signal transduction mechanisms	COG2205	T:[Signal transduction mechanisms]	3
B	DNA-binding chromatin protein H-NS	Chromatin structure and dynamics	COG2916	B:[Chromatin structure and dynamics]	3
C	Isocitrate lyase	Energy production and conversion	COG2224	C:[Energy production and conversion]	3
E	Arginine/lysine/ornithine decarboxylase	Amino acid transport and metabolism	COG1982	E:[Amino acid transport and metabolism]	3
P	Cation (Ca2+/Na+/K+)/H+ antiporter ChaA	Inorganic ion transport and metabolism	COG0387	P:[Inorganic ion transport and metabolism]	3
G	ABC-type xylose transport system, permease component	Carbohydrate transport and metabolism	COG4214	G:[Carbohydrate transport and metabolism]	3
N	Flagellar basal body P-ring formation protein FlgA	Cell motility	COG1261	N:[Cell motility]	3
N	Flagellar basal body rod protein FlgF	Cell motility	COG4787	N:[Cell motility]	3
F	Inosine-uridine nucleoside N-ribohydrolase	Nucleotide transport and metabolism	COG1957	F:[Nucleotide transport and metabolism]	3
C	Na+/H+ antiporter NhaA	Energy production and conversion	COG3004	C:[Energy production and conversion]	3
H	Pyrroloquinoline quinone (PQQ) synthase PqqC, TenA/Thi4/PqqC family	Coenzyme transport and metabolism	COG5424	H:[Coenzyme transport and metabolism]	3
G	6-phosphogluconolactonase, cycloisomerase 2 family	Carbohydrate transport and metabolism	COG2706	G:[Carbohydrate transport and metabolism]	3
U	Type II secretion system/DNA uptake membrane channel ComE/HofQ	Intracellular trafficking, secretion, and vesicular transport	COG4796	U:[Intracellular trafficking, secretion, and vesicular transport]	3
O	Peroxiredoxin	Posttranslational modification, protein turnover, chaperones	COG2077	O:[Posttranslational modification, protein turnover, chaperones]	3
D	Septum site-determining protein MinC	Cell cycle control, cell division, chromosome partitioning	COG0850	D:[Cell cycle control, cell division, chromosome partitioning]	3
D	Septum site-determining ATPase MinD	Cell cycle control, cell division, chromosome partitioning	COG2894	D:[Cell cycle control, cell division, chromosome partitioning]	3
M	L-rhamnose mutarotase	Cell wall/membrane/envelope biogenesis	COG3254	M:[Cell wall/membrane/envelope biogenesis]	3
E	Urease beta subunit	Amino acid transport and metabolism	COG0832	E:[Amino acid transport and metabolism]	3
H	Demethoxyubiquinone hydroxylase, CLK1/Coq7/Cat5 family (ubiquinone biosynthesis)	Coenzyme transport and metabolism	COG2941	H:[Coenzyme transport and metabolism]	3
J	tRNA (Thr-GGU) A37 N6-methylase	Translation, ribosomal structure and biogenesis	COG1720	J:[Translation, ribosomal structure and biogenesis]	3
R	Predicted esterase of the alpha/beta hydrolase fold	General function prediction only	COG3545	R:[General function prediction only]	3
O	Heat shock protein HslJ	Posttranslational modification, protein turnover, chaperones	COG3187	O:[Posttranslational modification, protein turnover, chaperones]	3
S	Uncharacterized membrane protein YebE, DUF533 family	Function unknown	COG2979	S:[Function unknown]	3
